entnum;Ellix;fj;score;nom
513202366;IE4;5710;5;GROUPE ADIONA
519880330;IE3;5499;4;MCO COSMETICS & RESEARCH
497915223;IE4;5499;5;GIO2B
454026782;IE3;5499;3;NEOTEC
414884155;IE4;5499;3;AGIRD
533970760;IE4;5498;3;MMT
441770013;IE4;5720;4;JCD DIFFUSION
514653898;IE4;5499;6;ACCESS SERVICES 66
521491423;IE4;5499;3;AGENCE PONTS DE CEAISE TRANSACTION IMMOBILIERE
752929380;IE4;5499;4;ATLANTIS EXPRESS
753210269;NA;1200;6;LOLLIC NOEL FRANCOIS
521811570;IE4;5498;3;RICOU INGENIERIE
535145775;IE4;5499;3;L A M A
57816902;IE4;5710;2;LABORATOIRE D'HERBORISTERIE GENERALE
492628169;IE4;5499;2;CONFORT HABITAT
511096620;IE4;5499;4;EFFERVESCENCE
326954674;IE2;5499;2;PARIS CANAL
792528556;IE4;5710;4;CINQUIEME ELEMENT
751888967;IE4;5485;7;PHARMACIE BARRUT
519392823;IE4;5498;5;GROUPE MDS
529149866;IE4;5499;2;SID REPAIR
420206112;NA;1200;7;WERMEILLE JEAN-MARC
392592911;IE4;5498;4;EURL GAILLARD FRANCK
494476187;IE3;5499;2;GPSA
501696470;IE4;5499;5;PORTES-EO
478612260;IE4;5499;5;SM PRESSING
503887143;IE4;5710;3;VORIAGH
791714256;IE4;5499;4;LA COUSANCE
494686918;IE4;5499;6;SARL MONDIAL AUTOMOBILES
450011820;IE4;5499;3;CHATEAU DE LA BARGE
539150383;IE4;5499;3;S C B N R
414616425;IE4;5499;3;ULTRA
521491423;IE4;5499;3;AGENCE PONTS DE CEAISE TRANSACTION IMMOBILIERE
347726952;IE4;5699;6;DRAL
454026782;IE3;5499;3;NEOTEC
494996846;NA;1200;6;PEREZ YULIYA nee YUREVYCH
450011820;IE4;5499;3;CHATEAU DE LA BARGE
395030661;IE4;5498;6;ORION INDUSTRY
494686918;IE4;5499;6;SARL MONDIAL AUTOMOBILES
498907781;IE4;5720;6;MEZZOTEL
498907781;IE4;5720;6;MEZZOTEL
403782683;NA;1200;7;MONSALLIER FRANCK LAURENT
517850079;NA;1200;7;SAKELLARIDIS PIERRE
531990737;IE3;5499;2;AQUAFITCENTER LE PATIO
531990737;IE3;5499;2;AQUAFITCENTER LE PATIO
384665501;IE4;5499;4;NICKEL
508393097;NA;1200;7;LAPOLE FREDERIC
538734021;IE2;5499;1;CHALEUR BREIZH
452946627;IE4;5499;1;LORRAINE CALL CENTER
438915712;IE4;5498;3;PREST AGRI SERVICES
528367550;IE4;5498;6;ESPACE CULTUREL MULTIMEDIA STANOIS
481216000;IE4;5499;4;BT-INFO
529575003;IE4;5498;1;ALPHA BAIE MENUISERIE
751484601;IE4;5499;3;SARL SUD-NORD EXPRESS
389114604;IE3;5499;3;STAMEX
518560214;NA;1200;0;BISOULLIER PATRICIA nee BOQUET
326954674;IE2;5499;2;PARIS CANAL
532716636;IE4;5710;3;FASUAL
453612145;IE4;5710;8;HOLDING MAINTENANCE TUYAUTERIE INDUS
498042282;IE4;5498;5;BOULANGERIE BELLECOMBE
523705929;IE3;5498;3;ABK CONSEIL RH
789166816;IE4;5499;4;ART'RENOV
789166816;IE4;5499;4;ART'RENOV
534941968;IE4;5499;4;CHARRON
421587130;NA;1200;7;MAACHOU GHALY
413421264;IE4;5499;2;D B MATERIAUX
389114604;IE3;5499;3;STAMEX
792247330;IE4;5498;3;TELECOMS SOLUTIONS ENTREPRISES
815377965;IE4;5499;4;XS RACING
534023957;IE4;5499;5;SITATECH
488471392;IE4;5499;4;ARCOA
523469443;IE4;5499;4;AMBULANCES URGENCE 29
437824741;IE4;5499;4;EUROPE METAL CONCEPT
309054583;IE4;5499;3;MIAZZI
454038480;IE4;5499;3;COSMETIQUE DISTRIBUTION
531990737;IE3;5499;2;AQUAFITCENTER LE PATIO
513881334;IE4;5498;5;ASR LOISIRS
791589542;IE4;5498;3;AUTO-ECOLE LAVALETTE
420206112;NA;1200;7;WERMEILLE JEAN-MARC
790206627;IE4;5498;2;ATARAXIE & CO
534313812;IE4;5499;6;CARDIONET
326553807;IE4;5710;3;SERMI PLAST
501154033;IE4;5499;4;SHOP'N GO
788908820;IE4;5499;4;FIGURE HO!
519110373;IE4;5499;3;STELA
540039955;IE4;5499;2;CONSTRUCTIONS MODERNES RHONE ALPES
509352167;IE4;5499;5;MARKO
510695976;IE4;5499;4;C C L
537500902;IE3;5710;1;ESPACE SERVICES TELECOM
509350757;NA;1500;2;DONDIN CAROLE
791392145;IE4;5498;7;ECM
443009436;IE4;5498;3;TOP PRINT
352339451;NA;1300;3;STUMPF JEAN LOUIS
499114999;IE4;5498;5;ZERO 7 PRODUCTIONS
534573829;IE4;5498;2;BARTHELEMY MACONNERIE
454038480;IE4;5499;3;COSMETIQUE DISTRIBUTION
480090513;IE3;5499;4;CORUM IMMOBILIER SARL
789737822;IE4;5499;3;BMG CONCEPT
499561744;IE4;5485;6;SELARL PHARMACIE LES ALIZES
531058949;IE4;5710;6;CAPSULE
514140789;IE4;5499;3;INELDEA DISTRIBUTION
498646967;NA;1200;7;ABBOUD MOHAND
529524522;IE3;5498;2;DOLFI CONSEIL
499085082;IE4;5499;5;H K S PRODUCTIONS
438200172;NA;1300;6;SELLES RAPHAEL JULIEN JOSEPH
529743742;IE1;5499;2;A2 PAS
525204590;NA;1200;7;LEPOIVRE ISABELLE NEE THEOT
413463860;IE4;5710;5;MONADIA
721873172;NA;1200;0;BEAUNEE JEAN FRANCOIS
503627291;IE3;5498;3;SERV-EAU 37
490584828;IE4;5499;4;ANIMALIA PARC
394514129;NA;1200;7;TORRES PASCAL
419347398;IE4;5499;5;ST GROUP
483543682;IE4;5498;7;DANIEL AMARA CONSULTING ART MODERNE
534835111;IE4;5499;4;VOYAGES ADAPTES
414419036;IE3;5499;2;EUROPTIC CONSEIL
449190107;IE4;5498;2;VALLEE DE SEINE BOISSONS
507952067;IE4;5485;4;PHARMACIE OTLET
319803367;IE4;5710;6;SOCIETE CABRI DEAL
434615738;IE4;5498;5;LOUEREP
504441379;IE4;5499;2;SARL CAFE 14
382716611;NA;6597;7;SCEA DE CANET
503892697;IE4;5498;1;ARTS & SOLS - ARTS & CONSTRUCTIONS
503892697;IE4;5498;1;ARTS & SOLS - ARTS & CONSTRUCTIONS
409260270;IE4;5499;6;SARL BLEU MARINE
519110373;IE4;5499;3;STELA
534188826;IE4;5499;2;C&I RENOV
753718386;IE4;5720;3;O'H ROMILLY
